Id;Designator;Package;Quantity;Designation;Supplier and ref
1;SW1;SW_DIP_x8_W5.08mm_Slide_Copal_CHS-A;1;SW_DIP_x08;
2;AE1;2.4GHz-INVERTED-F-ANTENNA;1;Antenna_Shield;
3;BT1;BatteryHolder_Keystone_1058_1x2032;1;Battery_Cell;
4;C1;C_0402;1;100pF;
5;C2;C_0402;1;150nF;
6;C3,C7,C16,C18;C_0402;4;1uF;
7;C4,C8,C17,C19,C23,C26,C27;C_0402;7;100nF;
8;C5,C6,C21,C22;C_0402;4;15pF;
9;C9,C12;C_0402;2;56pF;
10;C10,C20;C_0402;2;1.3pF;
11;C11,C13,C15;C_0402;3;0.5pF;
12;C14;C_0402;1;C;
13;C24;C_0402;1;4.7uF;
14;C25;C_0402;1;10uF;
15;L2,L3;R_0402_NoSilk;2;1.3nH;
16;L4;R_0402_NoSilk;1;5.6nH;
17;L5;R_0402_NoSilk;1;2.4nH;
18;L6;Inductor_1212;1;4.7uH;
19;R1,R13;R_0402;2;309k;
20;R2,R3,R4,R11;R_0402;4;1k;
21;R5,R6,R10;R_0402;3;0R;
22;R7,R16,R17,R18;R_0402;4;10k;
23;R8,R9,R14,R15;R_0402;4;R;
24;R12;R_0402;1;9.76k;
25;U1;QFN-32-1EP_5x5mm_Pitch0.5mm;1;BlueNRG-1;
26;U3;SOT-23-6_Handsoldering;1;MCP1640BCH;
27;Y1;Crystal_SMD_3215-2pin_3.2x1.5mm;1;Crystal_Small;
28;Y2;Crystal_SMD_3225-4pin_3.2x2.5mm_HandSoldering;1;Crystal_GND24_Small;
29;J1;Pin_Header_Straight_1x02_Pitch2.00mm_SMD_Pin1Right;1;Conn_01x02_Female;
30;J2;Pin_Header_Straight_1x05_Pitch2.00mm_SMD_Pin1Right;1;Conn_01x05_Male;
31;U4;TSSOP-8_4.4x3mm_Pitch0.65mm;1;AT25xxx;
32;J4;Pin_Header_Straight_1x04_Pitch2.00mm_SMD_Pin1Left;1;Conn_01x04_Male;
33;J6,J3,J5;Pin_Header_Straight_1x03_Pitch2.00mm_SMD_Pin1Left;3;Conn_01x03_Male;
34;L1;R_0805;1;10uH;
35;D1;LED_0603;1;LED;
36;U2;SOT-353_SC-70-5;1;LMT84DCK;
